ID,Área,Funcionalidad,Requisito_detallado,Prioridad,Roles,Pantallas_UI,Entidades_dominio,Tablas_DB_sugeridas,Storage_sugerido,API_sugerida,Integraciones,Reglas_validación,Auditoría_bitácora,Notificaciones,Pruebas_sugeridas,Criterios_aceptación,Dependencias,Estatus,Versión_objetivo,Owner
RM-001,Ingesta,Registro de brokers,"El sistema deberá permitir cargar y administrar una lista configurable de N brokers con 1..N URLs de perfil por broker y metadatos (broker_id, nombre, región, etiquetas/estrategia). Debe soportar importación masiva (CSV) y edición incremental.",Alta (P0),Admin; Sistema,Admin > Brokers (lista); Admin > Broker (detalle/URLs),Broker; BrokerProfileUrl; Tag,brokers; broker_profile_urls; broker_tags,—,POST/GET/PUT/DELETE /brokers; POST/GET/PUT/DELETE /brokers/{id}/urls; POST /brokers/import,—,URLs únicas por broker; broker_id obligatorio; normalización de URLs; deduplicación; validación de formato.,"broker_created; broker_updated; broker_deleted; urls_imported (actor, timestamp, diff)",—,Unit: validadores; Integration: import CSV; E2E: CRUD desde UI,Se pueden crear/editar/eliminar brokers; import masivo funciona; se detectan duplicados; se rechazan URLs inválidas con motivo legible.,—,BACKLOG,MVP v0.1,Backend
RM-002,Ingesta,Validación de URL,"Antes de ejecutar extracción, el sistema deberá validar cada URL (sintaxis, esquema, dominio permitido, alcanzabilidad HTTP/DNS) y persistir el resultado con código de error y política de reintento.",Alta (P0),Sistema; Admin,Admin > Broker (estado de URLs),UrlValidationResult; BrokerProfileUrl,"broker_profile_urls (status,last_checked,error_code,error_detail); url_validation_events",—,POST /urls/validate; GET /brokers/{id}/urls,Job queue/worker (p.ej. Redis Queue/Celery/Sidekiq); Scheduler (cron); Observabilidad (logs+metrics),Regex URL; http/https; timeout; follow redirects (configurable); max_retries; backoff.,url_validated; url_invalidated; retries_exhausted,Alertas opcionales cuando >X% URLs fallan (email/webhook),Unit: parser URL; Integration: validación real con mocks; Contract: códigos de error estables,>=99% URLs alcanzables quedan en estado VALID; las no alcanzables quedan FAIL con error_code; reintentos respetan política configurada.,RM-001,BACKLOG,MVP v0.1,Backend
RM-003,Ingesta,Políticas de acceso por dominio (robots/ToS),"El sistema deberá registrar políticas por dominio (robots.txt snapshot, rate limit, notas ToS internas) y hacer cumplir dichas políticas durante la extracción. Debe permitir bloquear dominios o pausar scraping.",Media (P1),Admin; DevOps; Sistema,Admin > Dominios/Políticas,DomainPolicy; Domain,domains; domain_policies; robots_snapshots,Object storage: robots_snapshots/,GET/PUT /domains/{domain}/policy; POST /domains/{domain}/block,Fetcher robots.txt; Config store; Worker,Si dominio=blocked => no se ejecutan jobs; rate_limit aplicado; user-agent configurable; registro de snapshot.,domain_policy_updated; domain_blocked; crawl_blocked_by_policy,Notificación a Admin cuando dominio pasa a BLOCKED o circuit breaker se activa,Integration: enforcement rate limit; Unit: policy evaluation,El sistema no excede límites configurados por dominio; dominios bloqueados no se procesan; auditoría muestra política aplicada en cada request.,"RM-001,RM-002",BACKLOG,v0.2,Backend/DevOps
RM-004,Ingesta,Scheduler de crawls,"El sistema deberá soportar ejecución programada (horario configurable por proyecto y/o por broker) y refresh on-demand por broker, generando jobs con trazabilidad (run_id, broker_id, created_by).",Alta (P0),Admin; Analista; Sistema,Dashboard > Brokers (botón refrescar); Admin > Scheduler,CrawlJob; Run; Broker,crawl_jobs; runs,—,POST /brokers/{id}/refresh; POST/PUT /schedules; GET /runs,Job queue/worker (p.ej. Redis Queue/Celery/Sidekiq); Scheduler (cron); Observabilidad (logs+metrics),"No permitir dos crawls simultáneos por (broker, source) salvo configuración; ventana de ejecución; idempotencia por run_id.",run_created; crawl_job_enqueued; crawl_job_started; crawl_job_finished,Notificación opcional al finalizar runs (webhook),Integration: cola + scheduler; E2E: refresh manual desde UI,Los jobs corren dentro de ±5 min del schedule; refresh manual inicia <30s; se muestra last_run por broker.,RM-001,BACKLOG,MVP v0.1,Backend/DevOps
RM-005,Ingesta,"Rate limiting, retries y circuit breaker","El sistema deberá implementar rate limiting por dominio, retries con exponential backoff y circuit breaker ante fallas repetidas. Debe registrar métricas de requests y errores.",Alta (P0),Sistema; DevOps,—,HttpRequestEvent; DomainPolicy,http_request_events; circuit_breakers,—,— (interno worker),Job queue/worker (p.ej. Redis Queue/Celery/Sidekiq); Scheduler (cron); Observabilidad (logs+metrics),RPS <= policy; max_retries; jitter; circuit_open_threshold; cool_down_time.,http_request_logged; circuit_opened; circuit_closed,Alerta DevOps cuando circuit_opened por dominio crítico,Unit: backoff; Integration: rate-limit; Load test: no exceder RPS,No se excede RPS configurado; retries se detienen al máximo; circuit breaker corta tráfico y se recupera tras cool down.,RM-003,BACKLOG,MVP v0.1,Backend/DevOps
RM-006,Extracción,Parser HTML por dominio,"El sistema deberá extraer datos crudos desde HTML usando adaptadores por dominio (selectores/mapeos) mantenibles y testeables, versionando el parser.",Alta (P0),Sistema; Backend,—,SourceAdapter; RawRecord,source_adapters; raw_records,Object storage: raw_html/ (opcional); raw_json/,— (interno),Job queue/worker (p.ej. Redis Queue/Celery/Sidekiq); Scheduler (cron); Observabilidad (logs+metrics),Parser_version obligatorio; si falla => estado PARSER_ERROR con evidencia; soportar cambios de markup.,raw_record_created; parser_failed,—,Unit: parsing fixtures; Integration: adapter pipeline; Golden tests,"Para dominios soportados, los campos mínimos se extraen con >=95% completitud sobre set de prueba; parser_version queda registrado.","RM-004,RM-005",BACKLOG,MVP v0.1,Backend
RM-007,Extracción,Soporte JSON/API cuando exista,"Si el perfil expone datos vía JSON/API (directo o embebido), el adaptador deberá preferir esa fuente por estabilidad y registrar el endpoint utilizado.",Media (P1),Sistema; Backend,—,SourceAdapter; RawRecord,"raw_records (source_type, endpoint_used)",Object storage: raw_json/,— (interno),HTTP client; Auth si aplica (token),Validación de schema JSON; fallback a HTML si JSON falla (configurable).,raw_record_created; json_schema_mismatch,—,Unit: schema; Integration: preferencia de fuente,"Cuando existe JSON, se usa por defecto y reduce errores de parsing; se guarda endpoint_used y schema_version.",RM-006,BACKLOG,v0.2,Backend
RM-008,Extracción,Descarga de adjuntos relevantes,"El sistema deberá detectar y descargar adjuntos/links (PDF u otros permitidos) asociados al perfil cuando estén presentes y permitidos por política, guardando checksum y metadatos.",Baja (P2),Sistema; Backend,Broker > Evidencias/Docs (opcional),Attachment; DocumentRef,attachments; attachment_links,Object storage: attachments/ (con límites de tamaño),GET /brokers/{id}/attachments; POST /attachments/reprocess,Object storage; Antivirus scanning (opcional),Allowlist de tipos; size_limit; checksum; no duplicar por hash.,attachment_downloaded; attachment_failed; attachment_deleted,Notificación si adjunto crítico falla (configurable),Integration: descarga + storage; Unit: allowlist; Security: path traversal,Adjuntos permitidos se almacenan y referencian; checksum y metadatos disponibles; se respetan límites y políticas.,"RM-003,RM-006",BACKLOG,v0.3,Backend
RM-009,Modelo de datos,Almacenamiento de datos crudos versionados,"El sistema deberá guardar registros crudos inmutables con URL fuente, timestamp, parser_version, content_hash y payload (JSON). No debe sobrescribir datos crudos.",Alta (P0),Sistema; Backend,—,RawRecord; CrawlJob; Run,raw_records; crawl_jobs; runs,Object storage (opcional): raw_html/ raw_json/,GET /raw-records?broker_id=...; GET /raw-records/{id},Job queue/worker (p.ej. Redis Queue/Celery/Sidekiq); Scheduler (cron); Observabilidad (logs+metrics),Inmutabilidad; hash cambia si cambia contenido; FK a run_id; tamaño máximo por registro.,raw_record_created; raw_record_accessed,—,Unit: hashing; Integration: persistencia; Contract: schema raw_records,Cada crawl genera 1..N raw_records inmutables; parser_version y hash registrados; se puede recuperar por run_id.,RM-006,BACKLOG,MVP v0.1,Backend
RM-010,Modelo de datos,Entidades normalizadas y snapshots,"El sistema deberá normalizar datos crudos a entidades núcleo (Broker, ProfileSnapshot, MetricDefinition, MetricValue, Run, Experiment) y soportar snapshots temporalmente indexados.",Alta (P0),Backend; Quant; Sistema,—,Broker; ProfileSnapshot; MetricDefinition; MetricValue; Run; Experiment,brokers; profile_snapshots; metric_definitions; metric_values; experiments; runs,—,GET /brokers/{id}/snapshots; GET /metrics/definitions,DB relacional + migraciones,Integridad referencial; snapshot_time obligatorio; idempotencia al re-procesar mismo raw_record.,snapshot_created; normalization_failed,—,Integration: raw->normalized; Unit: mappers; Migration tests,Snapshots se crean correctamente por run; queries retornan consistencia; FK válidas; re-procesamiento no duplica indebidamente.,RM-009,BACKLOG,MVP v0.1,Backend
