ID,Área,Funcionalidad,Requisito_detallado,Prioridad,Roles,Pantallas_UI,Entidades_dominio,Tablas_DB_sugeridas,Storage_sugerido,API_sugerida,Integraciones,Reglas_validación,Auditoría_bitácora,Notificaciones,Pruebas_sugeridas,Criterios_aceptación,Dependencias,Estatus,Versión_objetivo,Owner
RM-001,Ingesta,Registro de traders y fuentes de desempeño,"El sistema deberá permitir cargar y administrar una lista configurable de N traders con metadatos (trader_id, nombre/alias, región/país, etiquetas/estrategia, estatus) y 1..N fuentes de desempeño por trader. Fuentes soportadas: (a) MyFXBook (URL/perfil o identificador), (b) cuentas MetaTrader 4/5 en modo monitoreo (server/broker, login y password de inversionista *read-only* referenciado vía gestor de secretos), y (c) reportes manuales de broker (PDF/XLS) cuando el trader no tenga MyFXBook. Debe soportar importación masiva (CSV) y edición incremental.",Alta (P0),Admin; Analista (Gema); Sistema,Admin > Traders (lista); Admin > Trader (fuentes/credenciales),Trader; PerformanceSource; TradingAccount; Tag,traders; performance_sources; trading_accounts; trader_tags,—,POST/GET/PUT/DELETE /traders; POST/GET/PUT/DELETE /traders/{id}/sources; POST /traders/import,—,Fuentes únicas por trader; trader_id obligatorio; normalización de URLs; no persistir secretos en DB (solo referencias); validación de formato.,"trader_created; trader_updated; trader_deleted; sources_imported (actor, timestamp, diff)",—,Unit: validadores; Integration: import CSV; E2E: CRUD desde UI,Se pueden crear/editar/eliminar traders y sus fuentes; import masivo funciona; se detectan duplicados; se rechazan URLs/credenciales inválidas con motivo legible.,—,BACKLOG,MVP v0.1,Backend
RM-002,Ingesta,Validación de fuentes y credenciales (URL + MT4/MT5),"Antes de ejecutar extracción/sync, el sistema deberá validar cada fuente: URLs (sintaxis, esquema, dominio, alcanzabilidad) y cuentas MT4/MT5 (handshake/credenciales de inversionista, latencia, ventana histórica disponible). Debe persistir el resultado con código de error, detalle legible y política de reintento. Debe soportar cuentas demo para pruebas de conexión.",Alta (P0),Sistema; Admin; Analista (Gema),Admin > Trader (estado de fuentes),SourceValidationResult; PerformanceSource; TradingAccount,"performance_sources (status,last_checked,error_code,error_detail); source_validation_events",—,POST /sources/validate; GET /traders/{id}/sources,Job queue/worker; Scheduler; Conectores MyFXBook/MT4/MT5,Regex URL; http/https; timeout; follow redirects (configurable); max_retries; backoff; para MT4/MT5: credenciales *read-only* y server requerido.,url_validated; url_invalidated; retries_exhausted,Alertas opcionales cuando >X% URLs fallan (email/webhook),Unit: parser URL; Integration: validación real con mocks; Contract: códigos de error estables,Fuentes alcanzables quedan en estado VALID; fuentes no alcanzables quedan FAIL con error_code; reintentos respetan política; cuentas demo validan conectividad de extremo a extremo.,RM-001,BACKLOG,MVP v0.1,Backend
RM-003,Ingesta,Políticas de acceso por dominio (robots/ToS),"El sistema deberá registrar políticas por dominio (robots.txt snapshot, rate limit, notas ToS internas) y hacer cumplir dichas políticas durante la extracción. Debe permitir bloquear dominios o pausar scraping.",Media (P1),Admin; DevOps; Sistema,Admin > Dominios/Políticas,DomainPolicy; Domain,domains; domain_policies; robots_snapshots,Object storage: robots_snapshots/,GET/PUT /domains/{domain}/policy; POST /domains/{domain}/block,Fetcher robots.txt; Config store; Worker,Si dominio=blocked => no se ejecutan jobs; rate_limit aplicado; user-agent configurable; registro de snapshot.,domain_policy_updated; domain_blocked; crawl_blocked_by_policy,Notificación a Admin cuando dominio pasa a BLOCKED o circuit breaker se activa,Integration: enforcement rate limit; Unit: policy evaluation,El sistema no excede límites configurados por dominio; dominios bloqueados no se procesan; auditoría muestra política aplicada en cada request.,"RM-001,RM-002",BACKLOG,v0.2,Backend/DevOps
RM-004,Ingesta,Scheduler de syncs,"El sistema deberá soportar ejecución programada (frecuencia configurable por fuente) y refresh on-demand por trader/fuente, generando jobs con trazabilidad (run_id, trader_id, source_id, created_by). Debe soportar ventanas de sync diarias/semanales (configurable) y priorizar sincronización incremental.",Alta (P0),Admin; Analista; Sistema,Dashboard > Traders (botón refrescar); Admin > Scheduler,SyncJob; Run; Trader; PerformanceSource,sync_jobs; runs,—,POST /brokers/{id}/refresh; POST/PUT /schedules; GET /runs,Job queue/worker (p.ej. Redis Queue/Celery/Sidekiq); Scheduler (cron); Observabilidad (logs+metrics),"No permitir dos crawls simultáneos por (broker, source) salvo configuración; ventana de ejecución; idempotencia por run_id.",run_created; crawl_job_enqueued; crawl_job_started; crawl_job_finished,Notificación opcional al finalizar runs (webhook),Integration: cola + scheduler; E2E: refresh manual desde UI,Los jobs corren dentro de ±5 min del schedule; refresh manual inicia <30s; se muestra last_run por broker.,RM-001,BACKLOG,MVP v0.1,Backend/DevOps
RM-005,Ingesta,"Rate limiting, retries y circuit breaker","El sistema deberá implementar rate limiting por dominio, retries con exponential backoff y circuit breaker ante fallas repetidas. Debe registrar métricas de requests y errores.",Alta (P0),Sistema; DevOps,—,HttpRequestEvent; DomainPolicy,http_request_events; circuit_breakers,—,— (interno worker),Job queue/worker (p.ej. Redis Queue/Celery/Sidekiq); Scheduler (cron); Observabilidad (logs+metrics),RPS <= policy; max_retries; jitter; circuit_open_threshold; cool_down_time.,http_request_logged; circuit_opened; circuit_closed,Alerta DevOps cuando circuit_opened por dominio crítico,Unit: backoff; Integration: rate-limit; Load test: no exceder RPS,No se excede RPS configurado; retries se detienen al máximo; circuit breaker corta tráfico y se recupera tras cool down.,RM-003,BACKLOG,MVP v0.1,Backend/DevOps
RM-006,Extracción,Adaptadores por fuente (MyFXBook / ForexFactory / HTML) y extracción mantenible,"El sistema deberá extraer datos crudos usando adaptadores por fuente: MyFXBook (HTML/API), ForexFactory (si se usa), y otros sitios HTML, con selectores/mapeos mantenibles y testeables, versionando el parser/adapter. Para MT4/MT5, la extracción se realizará vía conector dedicado a partir de credenciales de inversionista (read-only) y deberá producir el mismo esquema crudo (raw) con metadatos de fuente.",Alta (P0),Sistema; Backend,—,SourceAdapter; RawRecord,source_adapters; raw_records,Object storage: raw_html/ (opcional); raw_json/,— (interno),Job queue/worker (p.ej. Redis Queue/Celery/Sidekiq); Scheduler (cron); Observabilidad (logs+metrics),Parser_version obligatorio; si falla => estado PARSER_ERROR con evidencia; soportar cambios de markup.,raw_record_created; parser_failed,—,Unit: parsing fixtures; Integration: adapter pipeline; Golden tests,"Para dominios soportados, los campos mínimos se extraen con >=95% completitud sobre set de prueba; parser_version queda registrado.","RM-004,RM-005",BACKLOG,MVP v0.1,Backend
RM-007,Extracción,Soporte JSON/API cuando exista,"Cuando exista una API oficial o feed estructurado, el sistema deberá preferirlo sobre scraping. Debe soportar: API de MyFXBook (si aplica), exportaciones/feeds de brokers cuando existan, y endpoints estructurados de proveedores. Debe registrar limits, versionado y fallbacks.",Media (P1),Sistema; Backend,—,SourceAdapter; RawRecord,"raw_records (source_type, endpoint_used)",Object storage: raw_json/,— (interno),HTTP client; Auth si aplica (token),Validación de schema JSON; fallback a HTML si JSON falla (configurable).,raw_record_created; json_schema_mismatch,—,Unit: schema; Integration: preferencia de fuente,"Cuando existe JSON, se usa por defecto y reduce errores de parsing; se guarda endpoint_used y schema_version.",RM-006,BACKLOG,v0.2,Backend
RM-008,Extracción,Soporte de reportes de broker (PDF/XLS) y adjuntos,"El sistema deberá permitir incorporar reportes de broker asociados a un trader/fuente: (a) detectar y descargar adjuntos/links (PDF u otros permitidos) cuando estén presentes y permitidos por política, y (b) permitir carga manual de reportes (PDF/XLS) cuando el trader no tenga MyFXBook. Debe guardar checksum, metadatos (periodo cubierto, broker, cuenta) y estado de extracción (pendiente/procesado/error).",Baja (P2),Sistema; Backend,Trader > Evidencias/Docs (opcional),StatementFile; StatementParseJob; PerformanceSource,statement_files; statement_parse_jobs; statement_parse_events,Object storage: statements/{trader_id}/{source_id}/,GET /brokers/{id}/attachments; POST /attachments/reprocess,Object storage; Antivirus scanning (opcional),Tipos permitidos; tamaño máximo; checksum; antivirus opcional; asociación obligatoria a trader/fuente; periodo no vacío.,attachment_downloaded; attachment_failed; attachment_deleted,Notificación si adjunto crítico falla (configurable),Integration: descarga + storage; Unit: allowlist; Security: path traversal,Se pueden cargar/descargar reportes; se almacenan con checksum; el sistema indica estado de extracción; errores son accionables; no se pierden archivos.,"RM-003,RM-006",BACKLOG,v0.3,Backend
RM-009,Modelo de datos,Almacenamiento de datos crudos versionados,"El sistema deberá guardar registros crudos inmutables con fuente (source_id), timestamp, adapter_version, content_hash y payload (JSON/bytes). No debe sobrescribir datos crudos. Debe soportar snapshots diarios para retener histórico multianual (p.ej. MyFXBook), y registrar explícitamente la ventana histórica disponible cuando la fuente sea limitada (p.ej. MT4/MT5 típicamente 6–12 meses según broker).",Alta (P0),Sistema; Backend,—,RawRecord; CrawlJob; Run,raw_records; crawl_jobs; runs,Object storage (opcional): raw_html/ raw_json/,GET /raw-records?broker_id=...; GET /raw-records/{id},Job queue/worker (p.ej. Redis Queue/Celery/Sidekiq); Scheduler (cron); Observabilidad (logs+metrics),Inmutabilidad; hash cambia si cambia contenido; FK a run_id; tamaño máximo por registro.,raw_record_created; raw_record_accessed,—,Unit: hashing; Integration: persistencia; Contract: schema raw_records,Cada crawl genera 1..N raw_records inmutables; parser_version y hash registrados; se puede recuperar por run_id.,RM-006,BACKLOG,MVP v0.1,Backend
RM-010,Modelo de datos,Entidades normalizadas y snapshots,"El sistema deberá normalizar datos crudos a entidades núcleo (Trader, PerformanceSource, DailySummary, Trade/Deal, MetricDefinition, MetricValue, Run, Experiment) y soportar snapshots temporalmente indexados por trader y por fuente. Debe soportar múltiples fuentes por trader y reconciliación por periodo (con reglas de precedencia/coverage).",Alta (P0),Backend; Quant; Sistema,—,Trader; PerformanceSource; DailySummary; Trade; MetricDefinition; MetricValue; Run; Experiment,brokers; profile_snapshots; metric_definitions; metric_values; experiments; runs,—,GET /brokers/{id}/snapshots; GET /metrics/definitions,DB relacional + migraciones,Integridad referencial; snapshot_time obligatorio; idempotencia al re-procesar mismo raw_record.,snapshot_created; normalization_failed,—,Integration: raw->normalized; Unit: mappers; Migration tests,Snapshots se crean correctamente por run; queries retornan consistencia; FK válidas; re-procesamiento no duplica indebidamente.,RM-009,BACKLOG,MVP v0.1,Backend
